Ponto de Venda,Data,Origem / mídia da sessão,Campanha da sessão,Sessões,Transações,Receita,Origem Agrupada
Site,15/05/2025,(not set),(not set),19971,1,102.909998,Outros Canais
Site,23/04/2025,(not set),(not set),19953,3,342.519998,Outros Canais
Site,20/05/2025,(not set),(not set),19938,5,699.5300010000001,Outros Canais
Site,04/07/2025,(not set),(not set),19937,28,4979.950009,Outros Canais
Site,06/07/2025,(not set),(not set),19932,33,6604.899992999999,Outros Canais
Site,30/01/2025,(not set),(not set),19931,5,2070.4600100000002,Outros Canais
Site,17/03/2025,(not set),(not set),19926,17,2976.4799980000003,Outros Canais
Site,24/05/2025,(not set),(not set),19926,8,695.050005,Outros Canais
Site,24/04/2025,(not set),(not set),19831,7,1497.580004,Outros Canais
Site,18/02/2025,(not set),(not set),19827,29,6563.699993,Outros Canais
Site,04/06/2025,(not set),(not set),19812,6,1016.6800050000002,Outros Canais
Site,31/03/2025,(not set),(not set),19811,46,10197.989996,Outros Canais
Site,07/02/2025,(not set),(not set),19809,13,3811.5900060000004,Outros Canais
Site,25/05/2025,(not set),(not set),19784,4,411.769999,Outros Canais
Site,26/06/2025,(not set),(not set),19777,4,1218.990003,Outros Canais
Site,12/02/2025,(not set),(not set),19748,8,1393.090007,Outros Canais
Site,08/06/2025,(not set),(not set),19731,16,5057.549999000001,Outros Canais
Site,10/03/2025,(not set),(not set),19722,15,3770.649986,Outros Canais
Site,18/05/2025,(not set),(not set),19713,4,475.560002,Outros Canais
Site,07/04/2025,(not set),(not set),19698,2,825.619998,Outros Canais
Site,07/07/2025,(not set),(not set),19679,3,1008.760001,Outros Canais
Site,27/04/2025,(not set),(not set),19678,5,588.110001,Outros Canais
Site,21/05/2025,(not set),(not set),19676,6,528.739998,Outros Canais
Site,18/03/2025,(not set),(not set),19673,30,5979.560003,Outros Canais
Site,02/07/2025,(not set),(not set),19663,2,295.73,Outros Canais
Site,11/02/2025,(not set),(not set),19661,9,2888.060001,Outros Canais
Site,15/04/2025,(not set),(not set),19645,15,4289.930003,Outros Canais
Site,27/06/2025,(not set),(not set),19634,4,261.730005,Outros Canais
Site,14/04/2025,(not set),(not set),19629,8,1030.179995,Outros Canais
Site,23/01/2025,(not set),(not set),19626,10,3206.7900019999997,Outros Canais
Site,13/07/2025,(not set),(not set),19603,7,997.960001,Outros Canais
Site,01/02/2025,(not set),(not set),19579,6,1136.6199980000001,Outros Canais
Site,08/04/2025,(not set),(not set),19568,5,820.769995,Outros Canais
Site,28/02/2025,(not set),(not set),19555,10,1883.740014,Outros Canais
Site,12/06/2025,(not set),(not set),19540,2,279.369999,Outros Canais
Site,05/03/2025,(not set),(not set),19522,12,2014.1500110000002,Outros Canais
Site,29/06/2025,(not set),(not set),19522,2,100.070001,Outros Canais
Site,07/06/2025,(not set),(not set),19507,11,2112.249989,Outros Canais
Site,01/03/2025,(not set),(not set),19493,6,962.849999,Outros Canais
Site,10/07/2025,(not set),(not set),19448,3,735.47,Outros Canais
Site,28/06/2025,(not set),(not set),19435,2,168.030001,Outros Canais
Site,02/03/2025,(not set),(not set),19419,5,377.739998,Outros Canais
Site,23/06/2025,(not set),(not set),19411,3,184.030003,Outros Canais
